Cabo Verde,-1323,-1296,-1274,-1274,-1256
Paraguay,-16470,-16270,-8230,-8230,-12499
Ethiopia,9309,-10803,38867,-1391,-11999
Uganda,60723,107203,43465,43465,-118846
Jamaica,-11329,-11329,0,-5664,-10999
Kenya,-115434,-61946,-17106,-52549,-10000
"Congo, Rep.",-8858,-6271,-4465,-4466,-1000
Estonia,7229,5410,2995,2995,-1000
North Macedonia,-1000,-987,-486,-486,-1000
Angola,61632,58986,7557,29089,-1000
French Polynesia,-952,-861,-378,-378,-100
Greenland,-357,-338,-150,-62,-100
